,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
917,States,New York City,2016,4,X,X,X,X,X,X
918,States,Alabama,2016,5,252,4,2,2.38,1.59,0.79
919,States,Alaska,2016,5,X,X,X,X,X,X
920,States,Arizona,2016,5,163,26,2,17.18,15.95,1.23
921,States,Arkansas,2016,5,83,0,4,4.82,0,4.82
922,States,California,2016,5,2037,205,100,14.97,10.06,4.91
923,States,Colorado,2016,5,639,32,3,5.48,5.01,0.47
924,States,Connecticut,2016,5,456,44,2,10.09,9.65,0.44
925,States,Delaware,2016,5,114,4,2,5.26,3.51,1.75
926,States,District of Columbia,2016,5,X,X,X,X,X,X
927,States,Florida,2016,5,X,X,X,X,X,X
928,States,Georgia,2016,5,667,32,11,6.45,4.8,1.65
929,States,Hawaii,2016,5,158,13,1,8.86,8.23,0.63
930,States,Idaho,2016,5,23,2,2,17.39,8.7,8.7
931,States,Illinois,2016,5,614,67,13,13.03,10.91,2.12
932,States,Indiana,2016,5,148,10,1,7.43,6.76,0.68
933,States,Iowa,2016,5,61,3,0,4.92,4.92,0
934,States,Kansas,2016,5,161,7,3,6.21,4.35,1.86
935,States,Kentucky,2016,5,275,5,2,2.55,1.82,0.73
936,States,Louisiana,2016,5,477,8,6,2.94,1.68,1.26
937,States,Maine,2016,5,55,2,0,3.64,3.64,0
938,States,Maryland,2016,5,23,1,0,4.35,4.35,0
939,States,Massachusetts,2016,5,493,39,0,7.91,7.91,0
940,States,Michigan,2016,5,1010,77,11,8.71,7.62,1.09
941,States,Minnesota,2016,5,408,16,3,4.66,3.92,0.74
942,States,Mississippi,2016,5,113,1,2,2.65,0.88,1.77
943,States,Missouri,2016,5,561,14,3,3.03,2.5,0.53
944,States,Montana,2016,5,144,6,5,7.64,4.17,3.47
945,States,Nebraska,2016,5,93,3,0,3.23,3.23,0
946,States,Nevada,2016,5,15,1,0,6.67,6.67,0
947,States,New Hampshire,2016,5,24,0,2,8.33,0,8.33
948,States,New Jersey,2016,5,X,X,X,X,X,X
949,States,New Mexico,2016,5,590,22,19,6.95,3.73,3.22
950,States,New York,2016,5,1886,134,17,8.01,7.1,0.9
951,States,North Carolina,2016,5,125,3,2,4,2.4,1.6
952,States,North Dakota,2016,5,32,0,0,0,0,0
953,States,Ohio,2016,5,951,27,9,3.79,2.84,0.95
954,States,Oklahoma,2016,5,254,5,1,2.36,1.97,0.39
955,States,Oregon,2016,5,453,27,39,14.57,5.96,8.61
956,States,Pennsylvania,2016,5,561,16,3,3.39,2.85,0.53
957,States,Rhode Island,2016,5,X,X,X,X,X,X
958,States,South Carolina,2016,5,302,5,1,1.99,1.66,0.33
959,States,South Dakota,2016,5,205,3,1,1.95,1.46,0.49
960,States,Tennessee,2016,5,204,5,5,4.9,2.45,2.45
961,States,Texas,2016,5,1720,55,53,6.28,3.2,3.08
962,States,Utah,2016,5,986,74,99,17.55,7.51,10.04
963,States,Vermont,2016,5,144,1,0,0.69,0.69,0
964,States,Virginia,2016,5,196,6,0,3.06,3.06,0
965,States,Washington,2016,5,483,26,33,12.22,5.38,6.83
